,filename,anumber
114,a099656_vl3_echo gorge_e47-1241_cr768_a_2013_18133472.json,99656
115,a079785_p31_1760_ar_2008_16178484.json,79785
116,a094856_verification_p77_3706s_11682772.json,94856
117,a081490_nwb040507_thooto well soil_12651524.json,81490
118,a107890_attachmentc_explorationindexmap_c13202011_turner.json,107890
119,a074128_relinquishment_tjukayira_2007_14163985.json,74128
120,a094535_gswa_2011_annual_technical_report_ausr_e30_0421_12179419.json,94535
121,a081713_dool1974_14213976.json,81713
122,a088309_neg_ag_10-1s_15255354.json,88309
123,a080591_navigator geological_legend_13960825.json,80591
124,a095896_stackhole dam annual 2012_15072441.json,95896
125,a081475_e51_1218_2009a.pdf_11892132.json,81475
126,a084898_srre08_1707 parry range dmp annual report 2008-2009_15364298.json,84898
127,a082077_e59_1090_2008a_verificationreport_12775892.json,82077
128,a090409_sml_e53_1494_verif2010an_12276622.json,90409
129,a099523_e09_1778_2013p2_verification_listing_17884410.json,99523
130,a078924_bare hill an report 2008_12712489.json,78924
131,a077783_c_87_1994_2007 verification report _16076175.json,77783
132,a087163_e38-1813 annual report_09-10 (2)_16808518.json,87163
133,a105013_mxr_1503.json,105013
134,a087108_breakaway north west project annual report 2010_12506715.json,87108
135,a093438_e80_3770_2012s_15800565.json,93438
136,a077644_escape creek e 80-3491 partial surrender report_17075327.json,77644
137,a076245_a1lithocodes_11174809.json,76245
138,a096187_p37_7353_ final report_11503422.json,96187
139,a103053_gswa_2014_atr_e52_2696_16017864.json,103053
140,a080918_e9_1443_annual_09_13904956.json,80918
141,a076490_2235_mtminnie_logistics_11299344.json,76490
142,a098632_e704237_fn_2013_reportbody_12529629.json,98632
143,a089311_e38_2252_a_2010_16520806.json,89311
144,a076016_atr.1770_15930939.json,76016
145,a086245_c_hamilton_thesis_12087681.json,86245
146,a087450_m24 400 m24 429 p24 4159-4161  annual report 2010_request for additional information_9943011.json,87450
147,a097400_e63_1314_1325_1343_1426_viking 3 final surrender report_15209256.json,97400
148,a074795_verificationlist_neg_wo_07-2_17106164.json,74795
149,a105804_e45-3332_2015p.json,105804
150,a089279_abd_e53_1134_s_2010_10065382.json,89279
151,a080363_e27-232_a08_12403120.json,80363
152,a082735_p7703571_2009s_12406495.json,82735
153,a103429_e47_1915a.json,103429
154,a082098_ab_c52-2007_2008p_11295582.json,82098
155,a076128_platx mt thirsty_2007report_11484161.json,76128
156,a077949_c117_1997_2008a_appendix09_14145684.json,77949
157,a077875_e9_1155_annual_08_11484276.json,77875
158,a100350_cowanna rocks project annual techincal report e 28 2211 2012 -2013_11972492.json,100350
159,a077032_c170_2005_2008a_15404804.json,77032
160,a108746_a108746_v1_report.json,108746
161,a080952_m51_338-munro bore annual rpt to jan 09_11796346.json,80952
162,a075060_annualreporte452308 200607_17533178.json,75060
163,a104964_verification listing_p774012_4013s.json,104964
164,a098998_combined annual c113_2008 for 2013_12064401.json,98998
165,a078725_abydos_cmbned report_0708_16201230.json,78725
166,a078814_majestic_ann08_16516460.json,78814
167,a080105_e24_131_2008_verrep_15880690.json,80105
168,a085796_wondinong e58-290 2009a verification_12726825.json,85796
169,a088544_annual report c10_2009_2010_12794595.json,88544
170,a104283_20140916 atr e53_1655.json,104283
171,a106614_a106614_v1_report.json,106614
172,a080178_rw_e51_1111_2008s_verification report_12284650.json,80178
173,a097829_p09 464 ar 2013_9965266.json,97829
174,a073375_a73375_16240750.json,73375
175,a102434_e04-1944 final surrender report liveringa 2014_17858286.json,102434
176,a074172_nar_a_2006_9118939.json,74172
177,a080049_averr p24-3980 2008_11204307.json,80049
178,a106515_attachmenta_locationaccess_c123_2011_2015s.json,106515
179,a081192_lithology library_15024636.json,81192
180,a081135_bibliographic data sheet - owen anchorage feb 2009_16371018.json,81135
181,a084289_tp1_verif_2009a_10674807.json,84289
182,a103632_e47!2463_corung creek_20141009_2014 annual report.json,103632
183,a090271_e15_1155_2011a_10356100.json,90271
184,a102210_dg_2014p_10934613.json,102210
185,a077977_e36_497_2007s_11380928.json,77977
186,a075894_neg_ib_07-04a_15465251.json,75894
187,a104281_20140917 atr e15_1317.json,104281
188,a089062_e59 1406 verification index partial surrender report 2011_17490259.json,89062
189,a082538_e39_1146_2009s_11829729.json,82538
190,a077738_partial_surrender_report____11563170.json,77738
191,a081730_c16_2008_2008a_16661391.json,81730
192,a085878_cgc1482001a2009_14108084.json,85878
193,a098385_sw_e51_1407_2013a_15295408.json,98385
194,a095133_widgie south annual report 2011-2012_16720720.json,95133
195,a106954_attachmenta_locationaccess_c125_2011_2015s.json,106954
196,a082592_p46_1454_2009s_10539129.json,82592
197,a100934_final  surrender report mariinba project e 80 4693_15785130.json,100934
198,a103843_e77_1837 fsr 2014.json,103843
199,a084775_c51_2006-mt alexander project_15236562.json,84775
200,a076147_c72_04_2007a_appendix5_12629802.json,76147
201,a109979_exploration index map.json,109979
202,a079788_e15_852_2008a_11529818.json,79788
203,a087295_e39_1066_2010p_verification_listing_12410126.json,87295
204,a090777_s_king verification report annual 2011_12936695.json,90777
205,a089914_e47_2026_2011v_16922612.json,89914
206,a086892_wheatley combined atr 2010_16737357.json,86892
207,a086015_dawson surrender report _10842829.json,86015
208,a077887_plan 1 exploration index map c36_2003_ar_2007_16640900.json,77887
209,a091240_e39_831_2011s_18519196.json,91240
210,a082214_figure 1 tenure__15553798.json,82214
211,a080533_e70-2917_2008a_combined_18266336.json,80533
212,a095774_c63-2010 partial surrender 041012_16399692.json,95774
213,a100593_front_page_of_core_ library_drill_report_11957035.json,100593
214,a078552_e47_1075 2007_08  mineral exploration verification list_12780265.json,78552
215,a081860_a4woko_ph08096128_40949-6242730_12174211.json,81860
216,a080090_e77_1078 as 08 (2)_10803633.json,80090
217,a094151_dmp gem naretha2012cgr 05jul12_12455330.json,94151
218,a098306_e47 1410 surrender report_15938636.json,98306
219,a107730_surrender report p63_1964 2015.json,107730
220,a081185_188_2005_combannual_2008a_17837689.json,81185
221,a081727_kb_el15-1004_2009a_16396655.json,81727
222,a093288_e08_2055 annual report 2012_11640219.json,93288
223,a108126_e70_3813_2015ps.json,108126
224,a081812_annreport e52-2086_12479064.json,81812
225,a081090_bc_ 2008a_verification_11213943.json,81090
226,a077007_martin_10061195.json,77007
227,a081459_sf_c71_2005_2008a_15910442.json,81459
228,a105672_p26_3727_2015_srpt.json,105672
229,a100002_e46-947 partsurr 2013_10300889.json,100002
230,a088730_hp_ann_tech_2010_11037422.json,88730
231,a081171_e630954_doir_submitted_2008_18008898.json,81171
232,a086071_scorpion_well_c57_2009_2009a_10083078.json,86071
233,a108486_a108486_v1_report.json,108486
234,a076663_ag_2007p_16329451.json,76663
235,a086877_texas well surrender report_14738072.json,86877
236,a094424_dmp gem e28-1968 annrep 31jul12_11482830.json,94424
237,a085866_verification_listing_form_iview_1049_2010_9933299.json,85866
238,a096377_file_varification_list 2012_14950876.json,96377
239,a079969_ow_c187_2006_2008a_13633386.json,79969
240,a091076_2011_ c12_2007 combined report verification list_14955267.json,91076
241,a081542_ar_ravensthorpe_2008_11788500.json,81542
242,a080280_co_well_250k_locn_fig1_17681480.json,80280
243,a080499_e04_1172_ii_2008_9892439.json,80499
244,a105868_mn_e77-1315-i_2012s.json,105868
245,a084950_jal_420_091101 windanya gold project 2009 annual report_11609876.json,84950
246,a093413_e31_790_2011a_14455890.json,93413
247,a110007_attachmentc_c121_2011 regional geology map.json,110007
248,a085255_p27_1732_2009a_12115685.json,85255
249,a075827_argylenorth_a3_imagebooklet_14787185.json,75827
250,a092581_e53_1167_2012_15306739.json,92581
251,a103513_balladoniae69_3128_annualreport20141002_verification.json,103513
252,a102419_e09-1775_2014s_report_14539586.json,102419
253,a088574_ww_s_2010_1181_12108775.json,88574
254,a081426_final surrender minerals exploration report e70 3045_15363616.json,81426
255,a075660_bibliographic data sheet p52_1078_14232218.json,75660
256,a077434_appendix_1_woodline_well_resource_nov07_17464792.json,77434
257,a092292_p08_520_2012s_18091769.json,92292
258,a090783_e77_1566 ar 2011 vlist_15185598.json,90783
259,a096230_wrc_verification report_2012 c160_2007_14423299.json,96230
260,a073074_cnjv_nrh_ar2006_nickel_15881703.json,73074
261,a093588_bean counter surrender report 080312_11667342.json,93588
262,a107083_a107083_v1_report.json,107083
263,a095636_unlock-rd_e25_436_text2012a_11232698.json,95636
264,a099585_title page and bibliographic data sheet_17629581.json,99585
265,a107812_a107812_v1_report.json,107812
266,a081578_figure 1 e57-685 tenure.pdf_16153084.json,81578
267,a090602_jn_e77-1384-i_2010a_dmpbibliographic_20110627_15465729.json,90602
268,a081060_p38-3340 a09_17008445.json,81060
269,a090359_claypan north project c89_2006 annual report 2010_16119527.json,90359
270,a109075_a109075_v1_report.json,109075
271,a081853_2008-09harrisfind_verificationreport_14329204.json,81853
272,a102185_e70_2513_2014a_12063951.json,102185
273,a077102_co_2007a_16251597.json,77102
274,a091568_gswa_2011_c257_2011_17755618.json,91568
275,a073247_a73247_12025297.json,73247
276,a094799_unlock-e15_1112_2012a_12273681.json,94799
277,a077371_c155_07a_17084318.json,77371
278,a085395_c160_207_2009a_14920663.json,85395
279,a085531_rothsay annual verification report 2009_11296219.json,85531
280,a084206_cn_c143_2008_2009a_verification report_12053541.json,84206
281,a086422_e27_317_2009a_10798114.json,86422
282,a099661_verification_listing_form_lw_e38_2505_part_surrender_report_2013_17045612.json,99661
283,a078059_randalls - annual report_15996720.json,78059
284,a078966_rf_a_2007_11519005.json,78966
285,a089868_e53_1247 lake way annual report 2010-2011_15184310.json,89868
286,a109353_attachmenth_c146_2011 surface sampling.json,109353
287,a073944_tr1203_a_2006_15969483.json,73944
288,a081096_e63_931_2008a_17385775.json,81096
289,a103758_e09_1764p_10_2014.json,103758
290,a104682_c117_2011_2014v.json,104682
291,a097988_dcw_e47_1936_2012a_11871722.json,97988
292,a085338_caz_pil_c257_2008_2009an_15123721.json,85338
293,a086302_c64_2007_nyang_verificationformonly_2009a_18159330.json,86302
294,a094994_ironstone partical surrender_report_2012_17531381.json,94994
295,a089806_c5-2011_2011a_10842224.json,89806
296,a098223_e70_2855_2013s_12518079.json,98223
297,a106093_c127_2004_e74_415_2015ps .json,106093
298,a081125_e08_1407_2008a_16506093.json,81125
299,a094249_breakaway north west project annual report 2012_10030393.json,94249
300,a081384_e51_844_2009a. pdf_11181619.json,81384
301,a084222_cashmere downs  surrender reports e57-644 & 646 2009_14689467.json,84222
302,a090021_verification report 20110427 e29-736_9346798.json,90021
303,a100447_c132_2007_verificationrpt_2013a_18070927.json,100447
304,a086141_e09-1463 annual geological report 2010 c (2)_15983396.json,86141
305,a085202_m29_189_atr_2009_14238628.json,85202
306,a103443_e77_2068_a_2014.json,103443
307,a096486_p58_1383 2012s_15710524.json,96486
308,a091681_e 63.1374_14812978.json,91681
309,a108025_figure 4_surface sampling.json,108025
310,a097851_um_e77_2016_2013a_16029650.json,97851
311,a090826_p38-3353 & p38-3374 2011s_16636134.json,90826
312,a080717_pender 100k dod dem and tenure_16402629.json,80717
313,a077807_e47-1015_ps2008_14833227.json,77807
314,a076932_e80_2389 2007a_14087599.json,76932
315,a086680_e37_790_2010s_11269514.json,86680
316,a086396_c127_2004_2009a_16291533.json,86396
317,a088056_pc title page and doir bibliographic data sheet_10848307.json,88056
318,a085918_file verification report c22_2009a_12879870.json,85918
319,a084808_weldrange_annual report_0809_16890051.json,84808
320,a075003_annual 2007 e51_1106_17282091.json,75003
321,a084170_e37_704_2009p_13999180.json,84170
322,a106528_c11_2015_2015s.json,106528
323,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,81348
324,a084009_e39_592_2009p_13947137.json,84009
325,a087665_gc_e80-2394_2010a_13883433.json,87665
326,a076779_verification_e59-1072_15078916.json,76779
327,a084293_dar_2009a_9992795.json,84293
328,a104203_combined_annual_report_2014.json,104203
329,a088629_p 77 3386 great bingin 2010_14856897.json,88629
330,a080856_text p28.1027 2008_15393823.json,80856
331,a102506_e25_332_verification_rpt_2014s_14739717.json,102506
332,a080013_c51_2006_2008a_14991985.json,80013
333,a084345_c106_2007_2009a_14373229.json,84345
334,a080572_geological legend_14751631.json,80572
335,a075889_e09_1250_2007a_17463122.json,75889
336,a096510_p58_1511 2012s_15982621.json,96510
337,a081631_c130_2006_2009a_15094235.json,81631
338,a097507_wp-013-pym_e47_1305_partialsurrender_16278724.json,97507
339,a088168_madoonia_downs_e28_1899_2010a_14599474.json,88168
340,a080512_e46_690_2008a_12339298.json,80512
341,a097456_na_2013a_17853010.json,97456
342,a074647_comb ann report 2007 nth parker range_12151757.json,74647
343,a086277_c135_2002_2010_10871739.json,86277
344,a084290_p59-1856_atr 2009_10615504.json,84290
345,a079604_p15_4782_2008a_15306990.json,79604
346,a100887_e63_1497_2014_sur_report_14978576.json,100887
347,a082698_wy_e08-1190 _s2009_14741465.json,82698
348,a087287_e46_773_2010s_17471271.json,87287
349,a074797_c92_2005_a07_15031361.json,74797
350,a107579_attachment_a.json,107579
