group,path,filename,a_number
0,data/wamex_xml/a084898_srre08_1707 parry range dmp annual report 2008-2009_15364298.json,a084898_srre08_1707 parry range dmp annual report 2008-2009_15364298.json,84898
0,data/wamex_xml/a082077_e59_1090_2008a_verificationreport_12775892.json,a082077_e59_1090_2008a_verificationreport_12775892.json,82077
0,data/wamex_xml/a078924_bare hill an report 2008_12712489.json,a078924_bare hill an report 2008_12712489.json,78924
0,data/wamex_xml/a077783_c_87_1994_2007 verification report _16076175.json,a077783_c_87_1994_2007 verification report _16076175.json,77783
0,data/wamex_xml/a077644_escape creek e 80-3491 partial surrender report_17075327.json,a077644_escape creek e 80-3491 partial surrender report_17075327.json,77644
0,data/wamex_xml/a076245_a1lithocodes_11174809.json,a076245_a1lithocodes_11174809.json,76245
0,data/wamex_xml/a080918_e9_1443_annual_09_13904956.json,a080918_e9_1443_annual_09_13904956.json,80918
0,data/wamex_xml/a076490_2235_mtminnie_logistics_11299344.json,a076490_2235_mtminnie_logistics_11299344.json,76490
0,data/wamex_xml/a076016_atr.1770_15930939.json,a076016_atr.1770_15930939.json,76016
0,data/wamex_xml/a074795_verificationlist_neg_wo_07-2_17106164.json,a074795_verificationlist_neg_wo_07-2_17106164.json,74795
0,data/wamex_xml/a080363_e27-232_a08_12403120.json,a080363_e27-232_a08_12403120.json,80363
0,data/wamex_xml/a082735_p7703571_2009s_12406495.json,a082735_p7703571_2009s_12406495.json,82735
0,data/wamex_xml/a082098_ab_c52-2007_2008p_11295582.json,a082098_ab_c52-2007_2008p_11295582.json,82098
0,data/wamex_xml/a076128_platx mt thirsty_2007report_11484161.json,a076128_platx mt thirsty_2007report_11484161.json,76128
0,data/wamex_xml/a077949_c117_1997_2008a_appendix09_14145684.json,a077949_c117_1997_2008a_appendix09_14145684.json,77949
0,data/wamex_xml/a077875_e9_1155_annual_08_11484276.json,a077875_e9_1155_annual_08_11484276.json,77875
0,data/wamex_xml/a077032_c170_2005_2008a_15404804.json,a077032_c170_2005_2008a_15404804.json,77032
0,data/wamex_xml/a080952_m51_338-munro bore annual rpt to jan 09_11796346.json,a080952_m51_338-munro bore annual rpt to jan 09_11796346.json,80952
0,data/wamex_xml/a075060_annualreporte452308 200607_17533178.json,a075060_annualreporte452308 200607_17533178.json,75060
0,data/wamex_xml/a078725_abydos_cmbned report_0708_16201230.json,a078725_abydos_cmbned report_0708_16201230.json,78725
0,data/wamex_xml/a078814_majestic_ann08_16516460.json,a078814_majestic_ann08_16516460.json,78814
0,data/wamex_xml/a080105_e24_131_2008_verrep_15880690.json,a080105_e24_131_2008_verrep_15880690.json,80105
0,data/wamex_xml/a085796_wondinong e58-290 2009a verification_12726825.json,a085796_wondinong e58-290 2009a verification_12726825.json,85796
0,data/wamex_xml/a080178_rw_e51_1111_2008s_verification report_12284650.json,a080178_rw_e51_1111_2008s_verification report_12284650.json,80178
0,data/wamex_xml/a073375_a73375_16240750.json,a073375_a73375_16240750.json,73375
0,data/wamex_xml/a074172_nar_a_2006_9118939.json,a074172_nar_a_2006_9118939.json,74172
0,data/wamex_xml/a080049_averr p24-3980 2008_11204307.json,a080049_averr p24-3980 2008_11204307.json,80049
0,data/wamex_xml/a081192_lithology library_15024636.json,a081192_lithology library_15024636.json,81192
0,data/wamex_xml/a081135_bibliographic data sheet - owen anchorage feb 2009_16371018.json,a081135_bibliographic data sheet - owen anchorage feb 2009_16371018.json,81135
0,data/wamex_xml/a084289_tp1_verif_2009a_10674807.json,a084289_tp1_verif_2009a_10674807.json,84289
0,data/wamex_xml/a077977_e36_497_2007s_11380928.json,a077977_e36_497_2007s_11380928.json,77977
0,data/wamex_xml/a075894_neg_ib_07-04a_15465251.json,a075894_neg_ib_07-04a_15465251.json,75894
0,data/wamex_xml/a082538_e39_1146_2009s_11829729.json,a082538_e39_1146_2009s_11829729.json,82538
0,data/wamex_xml/a077738_partial_surrender_report____11563170.json,a077738_partial_surrender_report____11563170.json,77738
0,data/wamex_xml/a081730_c16_2008_2008a_16661391.json,a081730_c16_2008_2008a_16661391.json,81730
0,data/wamex_xml/a085878_cgc1482001a2009_14108084.json,a085878_cgc1482001a2009_14108084.json,85878
0,data/wamex_xml/a082592_p46_1454_2009s_10539129.json,a082592_p46_1454_2009s_10539129.json,82592
0,data/wamex_xml/a084775_c51_2006-mt alexander project_15236562.json,a084775_c51_2006-mt alexander project_15236562.json,84775
0,data/wamex_xml/a076147_c72_04_2007a_appendix5_12629802.json,a076147_c72_04_2007a_appendix5_12629802.json,76147
0,data/wamex_xml/a079788_e15_852_2008a_11529818.json,a079788_e15_852_2008a_11529818.json,79788
0,data/wamex_xml/a086015_dawson surrender report _10842829.json,a086015_dawson surrender report _10842829.json,86015
0,data/wamex_xml/a077887_plan 1 exploration index map c36_2003_ar_2007_16640900.json,a077887_plan 1 exploration index map c36_2003_ar_2007_16640900.json,77887
0,data/wamex_xml/a082214_figure 1 tenure__15553798.json,a082214_figure 1 tenure__15553798.json,82214
0,data/wamex_xml/a080533_e70-2917_2008a_combined_18266336.json,a080533_e70-2917_2008a_combined_18266336.json,80533
0,data/wamex_xml/a078552_e47_1075 2007_08  mineral exploration verification list_12780265.json,a078552_e47_1075 2007_08  mineral exploration verification list_12780265.json,78552
1,data/wamex_xml/a081860_a4woko_ph08096128_40949-6242730_12174211.json,a081860_a4woko_ph08096128_40949-6242730_12174211.json,81860
1,data/wamex_xml/a080090_e77_1078 as 08 (2)_10803633.json,a080090_e77_1078 as 08 (2)_10803633.json,80090
1,data/wamex_xml/a081185_188_2005_combannual_2008a_17837689.json,a081185_188_2005_combannual_2008a_17837689.json,81185
1,data/wamex_xml/a081727_kb_el15-1004_2009a_16396655.json,a081727_kb_el15-1004_2009a_16396655.json,81727
1,data/wamex_xml/a081812_annreport e52-2086_12479064.json,a081812_annreport e52-2086_12479064.json,81812
1,data/wamex_xml/a081090_bc_ 2008a_verification_11213943.json,a081090_bc_ 2008a_verification_11213943.json,81090
1,data/wamex_xml/a077007_martin_10061195.json,a077007_martin_10061195.json,77007
1,data/wamex_xml/a081459_sf_c71_2005_2008a_15910442.json,a081459_sf_c71_2005_2008a_15910442.json,81459
1,data/wamex_xml/a081171_e630954_doir_submitted_2008_18008898.json,a081171_e630954_doir_submitted_2008_18008898.json,81171
1,data/wamex_xml/a076663_ag_2007p_16329451.json,a076663_ag_2007p_16329451.json,76663
1,data/wamex_xml/a085866_verification_listing_form_iview_1049_2010_9933299.json,a085866_verification_listing_form_iview_1049_2010_9933299.json,85866
1,data/wamex_xml/a079969_ow_c187_2006_2008a_13633386.json,a079969_ow_c187_2006_2008a_13633386.json,79969
1,data/wamex_xml/a081542_ar_ravensthorpe_2008_11788500.json,a081542_ar_ravensthorpe_2008_11788500.json,81542
1,data/wamex_xml/a080280_co_well_250k_locn_fig1_17681480.json,a080280_co_well_250k_locn_fig1_17681480.json,80280
1,data/wamex_xml/a080499_e04_1172_ii_2008_9892439.json,a080499_e04_1172_ii_2008_9892439.json,80499
1,data/wamex_xml/a084950_jal_420_091101 windanya gold project 2009 annual report_11609876.json,a084950_jal_420_091101 windanya gold project 2009 annual report_11609876.json,84950
