,x,y
0,-34.466503,-76.03056
1,-62.545116,-67.58575
2,-1.1885678,-111.666504
3,-33.64728,-80.5633
4,-14.521528,128.15158
5,-24.900946,9.749335
6,-83.11313,-1.2599626
7,34.56346,-96.587814
8,-20.902554,112.6363
9,-60.022964,-105.51531
10,-51.56999,-59.594593
11,-69.93995,-80.267876
12,103.61261,8.039712
13,116.81573,81.458534
14,-21.13975,45.746716
15,-50.2155,-108.46937
16,15.657331,-130.70448
17,75.22746,-0.7491538
18,78.76476,-29.848392
19,109.43704,1.0082215
20,-55.23359,46.634415
21,-56.609062,-103.898895
22,17.051752,108.36647
23,-49.525642,-23.894585
24,-80.59865,47.21579
25,33.111797,-70.4815
26,103.12309,-20.278984
27,-56.418724,-115.30199
28,36.633728,-25.289507
29,46.238068,-23.76802
30,5.3765054,60.325348
31,40.30595,90.578705
32,-64.3206,-27.836857
33,71.82898,-15.04378
34,91.52658,73.91528
35,-16.64652,2.603244
36,-152.59605,24.764336
37,34.69166,29.409689
38,-119.372314,-77.408
39,-11.471417,-93.72678
40,83.62017,57.747334
41,41.7541,53.23378
42,-20.14178,-104.574905
43,-75.72474,-53.429787
44,-93.9084,-116.24909
45,-5.6336436,-119.04064
46,137.15115,76.03561
47,-22.48627,13.432533
48,-52.709873,63.54076
49,43.706863,101.00927
50,-47.842163,23.286592
51,-71.52165,-79.75841
52,-65.0781,-34.440987
53,96.60272,1.7097051
54,-15.773195,-24.089336
55,148.05116,57.834763
56,114.697075,61.482517
57,63.44258,-53.89278
58,-49.368507,-24.351038
59,-1.9399893,-71.3238
60,4.667177,131.54977
61,7.7181606,-94.10676
62,146.58432,58.01622
63,-33.184196,-104.57231
64,-88.082886,5.402066
65,11.388251,21.50922
66,-22.910133,114.01802
67,-66.840256,-85.75725
68,-40.93327,-26.865282
69,17.415565,7.878564
70,88.1485,42.414196
71,-57.042126,-29.038914
72,-32.096363,34.55837
73,-21.785528,-74.9699
74,16.762379,-76.976074
75,-45.54001,-128.05159
76,-34.726562,-133.44719
77,26.370308,69.959175
78,-101.36335,-88.129654
79,137.17395,-46.922104
80,57.433002,75.91648
81,-128.25664,-44.391106
82,17.52919,-106.90202
83,117.49923,98.98341
84,-27.925573,46.696262
85,-24.56855,13.586475
86,130.1398,113.91198
87,-23.205193,55.312576
88,21.731989,12.880316
89,-76.26693,59.900745
90,91.54725,-50.357655
91,-21.578691,-96.299904
92,23.35408,76.72775
93,-20.835508,-26.648829
94,-32.78568,-80.7801
95,84.59818,42.678314
96,79.2159,-62.436733
97,-17.743193,-10.254958
98,-83.30301,-106.604866
99,23.084352,-107.98487
100,-39.086746,116.276566
101,-53.899254,-79.16672
102,-69.41896,-68.18906
103,121.62661,55.231445
104,23.0658,-18.74368
105,63.729057,-1.5982378
106,4.9477005,-129.1581
107,-24.311712,12.817418
108,-166.2442,-17.80472
109,5.579041,-44.33383
110,97.940765,106.50056
111,136.59785,91.99151
112,-51.891636,98.68799
113,-86.61095,16.179556
114,153.28305,15.506414
115,91.04212,115.56843
116,-1.859759,-91.582146
117,-78.5766,-95.26453
118,-51.80565,-50.333252
119,-18.47375,121.83751
120,-34.723503,116.43226
121,52.15918,41.679104
122,119.22197,121.88027
123,-126.89003,-5.684571
124,13.900417,120.96706
125,105.14489,11.451914
126,18.205458,-57.617397
127,-52.143112,91.29344
128,99.62311,97.32254
129,-65.19364,-65.45817
130,108.23328,89.73657
131,-51.73258,-36.197113
132,-52.08036,20.950216
133,-103.15818,-77.799355
134,-59.30819,-108.61669
135,57.612988,75.98197
136,24.327314,32.687595
137,-112.73718,-78.021904
138,80.79145,90.806885
139,-96.59657,-74.397644
140,32.05884,101.52653
141,-88.53754,30.280407
142,57.347473,-31.127016
143,-37.38893,-150.57695
144,28.296917,64.63758
145,-6.568045,-77.639114
146,-70.44698,-8.795815
147,88.351456,41.34704
148,178.88618,5.608654
149,-49.595013,101.50197
150,102.92831,125.847916
151,-76.81735,-11.873863
152,-20.568672,51.98417
153,-53.123844,96.651855
154,-23.170118,-18.965864
155,-37.042946,-90.839325
156,59.77664,102.597305
157,102.68583,-20.914875
158,-3.1439517,35.252945
159,40.522377,-55.089657
160,-123.01045,-6.1225514
161,-17.496748,-51.54806
162,-1.7279192,26.170856
163,-111.64402,-73.41163
164,57.313297,-147.26285
165,-95.36471,-129.64917
166,-9.916024,-154.47783
167,-0.68664277,121.34189
168,-98.65858,-68.37979
169,-63.26641,-110.362625
170,13.096111,-51.777805
171,153.35919,13.916556
172,-41.007298,-12.967908
173,15.679194,45.636875
174,-11.373474,1.1954722
175,80.33121,34.640972
176,-2.4573934,-123.550865
177,161.10512,31.970982
178,-12.294927,-83.92479
179,94.13543,98.01802
180,179.94466,7.7942476
181,95.34647,-21.729666
182,86.65724,62.105663
183,38.752647,23.99415
184,26.799213,63.54697
185,-73.05283,-54.016674
186,-115.30069,12.365493
187,9.236149,25.971966
188,-9.797491,115.9808
189,38.611835,-58.13268
190,-52.46215,66.127106
191,74.530594,-63.09299
192,-91.01769,-72.96169
193,-110.74038,-44.473877
194,-31.009607,9.706586
195,-42.663998,-11.7943735
196,1.6580507,-154.65703
197,129.79027,103.285965
198,-12.418136,35.40394
199,66.060295,9.706755
200,180.78181,5.735555
201,157.3054,17.293755
202,-112.94064,-28.975176
203,73.64943,54.24648
204,-40.635242,-95.02497
205,-19.188028,-152.86641
206,147.38934,15.678847
207,86.17839,23.375303
208,-41.252216,-132.07672
209,63.53681,-144.17067
210,176.16998,6.4702544
211,-127.81964,-5.556332
212,-16.039995,130.81638
213,-49.190098,-62.566628
214,50.750546,40.809395
215,-55.364456,-109.27185
216,98.58456,1.3675175
217,-74.56336,-42.606934
218,-36.694,-73.63378
219,-27.142635,31.883633
220,165.12097,13.546402
221,-64.483,-52.621128
222,88.946625,-20.541523
223,-3.3611112,106.88161
224,-32.94018,94.90139
225,-63.663593,-106.69036
226,19.906984,59.97912
227,64.33529,59.802692
228,-30.873676,-128.35893
229,13.210291,-79.468864
230,-25.280355,-101.40636
231,-24.22144,124.796295
232,164.4106,-11.272879
233,22.456474,-51.05841
234,-41.187294,87.28788
235,83.86544,83.45982
236,91.453575,86.11743
237,145.53622,33.350082
238,60.102013,-13.374237
239,4.346614,-138.46364
240,22.511171,13.716596
241,-32.08815,-67.64404
242,139.47661,-48.142254
243,80.91029,-26.258629
244,-116.32543,-42.009655
245,45.427135,-39.646477
246,58.09233,-19.214252
247,-29.597816,34.832577
248,-61.28078,9.61722
249,-95.230774,3.9701686
250,89.25958,44.532948
251,68.07491,33.16641
252,-64.3275,44.193287
253,90.50695,74.6601
254,18.093842,106.81495
255,30.349703,-105.143425
256,-8.696451,-112.024414
257,-22.286507,125.85327
258,-16.545122,-10.883542
259,-21.956238,38.089954
260,4.5061126,-19.338726
261,-1.6254138,-100.51729
262,20.206902,58.09823
263,-21.404757,134.09
264,-87.696144,66.728874
265,24.58287,40.117676
266,-14.572933,6.558482
267,-120.037384,-23.882395
268,77.89343,-2.085672
269,-2.2230997,-66.910965
270,76.94797,87.20837
271,-26.416538,-73.248344
272,-6.359235,36.578735
273,-50.439465,-41.130096
274,59.48217,-30.323408
275,83.48636,-4.4113946
276,44.958584,-44.897194
277,36.454033,72.02776
278,-93.6138,-77.957344
279,127.279564,86.94842
280,3.989994,115.005035
281,85.13111,39.924156
282,-38.697784,-33.43467
283,5.0239477,-129.09428
284,113.46239,102.03726
285,101.12172,26.585312
286,91.794876,105.41528
287,91.31275,19.362944
288,35.368195,-40.172775
289,13.733543,-149.06978
290,-39.436443,-20.116428
291,-12.012927,107.48443
292,108.13643,56.914677
293,-19.546997,-1.7373017
294,-123.640755,-7.6662965
295,-92.57954,62.11918
296,53.745384,28.698751
297,0.9696301,-112.102196
298,81.960236,-2.0507588
299,82.584114,72.091484
300,127.99702,97.41165
301,1.0526762,122.252655
302,16.93212,101.77588
303,-63.608776,59.67955
304,65.61076,-11.35327
305,113.02042,101.85447
306,71.34009,114.69202
307,159.77075,30.924448
308,-6.847474,-156.0415
309,-45.838135,22.532688
310,52.174126,88.379745
311,67.63126,-42.969326
312,-29.25759,1.7606596
313,17.692034,74.79945
314,-14.055849,-66.310196
315,-42.502567,-46.909515
316,83.63434,-4.4967537
317,-85.72795,-26.274162
318,83.18445,64.8671
319,111.27899,94.34673
320,-54.41159,37.32896
321,-63.128323,-51.776558
322,-52.86278,-62.412476
323,-77.877174,23.971552
324,61.83922,-27.949045
325,-54.179028,48.235645
326,59.455574,-145.36708
327,82.19994,-61.802452
328,138.34593,-48.272484
329,150.72842,17.581005
330,-112.692535,-31.687721
331,15.630247,3.1319542
332,64.29806,-62.704865
333,25.14629,-48.967045
334,104.3027,34.91897
335,41.9855,73.47183
336,38.565353,-31.234068
337,-88.20324,-75.26391
338,91.06462,115.627464
339,102.62528,105.66994
340,-20.850506,4.7380114
341,-16.502518,-23.712074
342,-65.09787,-41.59538
343,-8.203056,-151.45738
344,-5.3700676,-77.889786
345,-21.76649,-57.515125
346,-28.890478,52.064747
347,-51.33003,-67.68976
348,-112.23372,101.06933
349,-3.791371,108.41348
350,40.592197,-45.161774
351,-10.741835,99.80122
352,-30.514334,-37.52279
353,9.133779,114.52964
354,-82.92745,-9.445702
355,-14.17536,103.476555
356,-52.09392,-17.41239
357,113.57773,2.6131055
358,-15.856627,-75.15974
359,92.07263,26.298002
360,22.990416,-78.998215
361,90.042305,41.470997
362,-24.382341,11.775731
363,-52.84824,97.764694
364,-99.45447,-125.98268
365,158.91737,2.9487147
366,-107.47396,-76.42174
367,0.17337522,93.97663
368,-80.348755,-61.810303
369,-0.16455911,-26.544584
370,-115.73301,13.133808
371,11.573358,-55.07905
372,-18.297405,83.62107
373,-65.450035,96.22403
374,-5.1273327,-104.018974
375,56.224186,22.999063
376,-41.937756,-85.25575
377,28.719168,-45.435444
378,-155.0001,26.041952
379,-74.035675,-80.48201
380,-22.112854,73.05961
381,-77.48499,0.6044785
382,-70.15847,-60.130215
383,-27.841763,36.636772
384,115.584335,82.61612
385,-41.673073,-131.31664
386,-93.70255,-116.9553
387,28.19354,-7.077193
388,131.02344,86.23859
389,58.106747,-25.73458
390,39.104588,-84.04557
391,41.472946,-32.001396
392,21.477386,-10.224519
393,-35.697838,-69.623085
394,-2.4338353,-17.32428
395,-80.29807,47.34304
396,-8.331948,-16.774137
397,84.68339,46.292885
398,33.734688,-77.77566
399,74.53682,45.244045
400,-54.03383,64.405754
401,-63.795322,-50.019695
402,2.2800448,88.74972
403,3.9042952,-98.017044
404,-0.62596357,131.3819
405,-70.58692,-91.267166
406,73.24402,84.93308
407,8.927669,114.530365
408,60.796406,79.24485
409,54.053577,44.60687
410,-81.88598,70.25917
411,96.41629,25.116398
412,-153.85147,-55.78687
413,-100.63481,-54.95314
414,58.602524,-29.460617
415,-63.942795,21.834799
416,-24.745953,-60.29813
417,-80.4341,67.3402
418,-30.392052,133.374
419,-14.420074,90.083565
420,42.824257,85.32232
421,-15.454801,-8.754733
422,-60.272495,-106.35108
423,13.577171,-89.25693
424,-84.35402,9.477451
425,-73.07677,-130.48573
426,96.44682,-54.669624
427,-80.83703,-19.494013
428,-10.85934,97.13697
429,-5.515657,-2.9430199
430,-135.51654,75.18387
431,-67.45333,73.87711
432,96.73287,109.083984
433,-136.64186,72.02177
434,-26.380518,-64.54893
435,-75.16949,-97.219444
436,-18.301224,2.5536354
437,-61.73462,75.37306
438,-20.193186,-100.28168
439,-34.21427,61.63385
440,71.02893,-46.43349
441,-100.516754,-24.33265
442,-98.95519,-49.047314
443,125.92574,117.02292
444,110.22498,115.13732
445,-24.57419,-150.53276
446,28.39809,103.71582
447,154.81026,8.091904
448,-55.33645,-6.1418242
449,163.44489,16.902323
450,-41.431675,-129.39351
451,100.14261,0.7978042
452,-28.786718,-155.04358
453,-25.550285,135.00642
454,-105.5841,-65.7559
455,43.089695,-9.03522
456,77.69906,-74.517426
457,-27.11614,98.76482
458,47.018837,15.870516
459,-101.71032,-49.738037
460,47.26075,-14.540202
461,42.811367,-57.863132
462,-7.1644197,-4.3374934
463,18.660664,66.892654
464,-72.14466,74.289085
465,-11.059828,-46.71013
466,89.32466,-20.75001
467,-33.663353,-43.98556
468,-104.37359,-86.95393
469,-58.943985,67.76912
470,-7.7210407,-7.437207
471,-112.49073,-33.690327
472,123.64748,90.143105
473,63.30258,43.946693
474,-80.97774,-29.859594
475,-43.104248,94.341324
476,5.797905,37.010044
477,-48.09113,83.67649
478,-49.485355,-99.56503
479,-9.971295,-48.882893
480,50.40517,74.78348
481,-20.900196,112.40317
482,154.30698,24.915342
483,11.565145,-119.06099
484,33.21082,33.727264
485,25.405838,64.441025
486,-14.71415,-51.067753
487,-56.099976,2.170297
488,3.0380082,-120.67281
489,83.8902,-78.66306
490,-65.390656,14.282588
491,103.76127,24.568356
492,4.010798,41.08682
493,38.867756,95.78265
494,30.84115,104.99726
495,-127.9878,-45.213203
496,-7.110384,-114.40388
497,-153.2919,24.991198
498,-29.871916,50.44101
499,-93.895706,-57.683685
500,106.9312,135.66302
501,-81.50662,-81.41498
502,-60.778843,89.35301
503,-63.92053,43.110077
504,25.415812,137.13132
505,-47.200016,-128.75699
506,-81.16138,-80.17667
507,3.92329,-20.185053
508,112.59107,88.32724
509,-51.01915,-95.28863
510,28.45716,35.506176
511,-112.15619,-66.22539
512,0.26939598,-0.64789987
513,-6.095464,2.0044622
514,30.695478,-80.64092
515,-44.84689,-124.90498
516,102.256195,-23.279322
517,100.93215,5.507883
518,-109.19081,-19.408337
519,-66.500755,-90.20023
520,-120.93926,-60.314053
521,-22.286505,39.60573
522,-42.620094,-51.779125
523,-7.8759465,-30.437555
524,32.773823,-62.705173
525,-112.55857,-56.37301
526,31.549177,-59.24669
527,81.2733,65.7691
528,80.83228,58.181507
529,46.70898,-1.195671
530,-49.98939,99.59801
531,-7.4834704,134.14304
532,-48.257965,-43.782314
533,-95.12543,-125.316216
534,148.10103,70.37979
535,81.54831,-76.53849
536,-15.824348,-4.6352944
537,106.98973,104.40213
538,97.640236,100.40792
539,-20.659906,-5.1613407
540,-64.66276,-105.266464
541,25.006311,-86.25586
542,84.6305,83.99954
543,144.11037,81.537224
544,144.94826,0.46869105
545,-75.090126,76.347565
546,16.113443,1.0860261
547,-85.689224,-6.5774627
548,13.4304905,-91.866066
549,-31.986994,88.968605
550,-26.69124,-152.80373
551,-90.76899,-91.237206
552,111.494804,104.81568
553,15.190643,-20.912022
554,4.5510287,102.18982
555,0.14553863,-23.392189
556,-62.67356,-107.16676
557,-40.408733,-62.162167
558,-18.940226,0.8937783
559,17.97228,116.46733
560,41.434063,-90.54712
561,-6.4951577,138.89691
562,31.987356,-54.03728
563,-7.3874836,14.415476
564,-59.85518,-35.607265
565,-106.06172,-30.430666
566,113.5691,49.934326
567,-99.11694,-67.03878
568,114.534386,61.53048
569,155.36139,14.984567
570,75.33059,55.864365
571,118.461395,56.59536
572,77.99715,15.598595
573,-123.193436,-60.220592
574,-9.352439,-48.91394
575,-79.559044,-3.7518163
576,34.978676,-71.85257
577,-64.29397,1.3250295
578,-22.11656,15.48288
579,-28.328764,-69.78977
580,10.710229,-107.43383
581,66.18563,9.683243
582,-89.38201,-37.926136
583,3.6089048,22.646767
584,13.213149,-117.63618
585,-80.36421,18.117884
586,76.221,63.727604
587,-48.66808,-90.05866
588,-51.66588,107.75405
589,10.788578,-17.364635
590,-15.810123,-51.503395
591,25.480005,37.335438
592,43.66608,-60.763687
