filename,anumber,report_type,sentence_count,prop,length
a071911_w503_t50_c4081996_ar2006_10836807.json,71911,Annual,58,0.4655172413793104,27
a071921_c_167_2001_ 2005a_11833491.json,71921,Annual,32,0.28125,9
a071923_cv_annual_rpt-2006_15207169.json,71923,Annual,312,0.42307692307692296,132
a071924_junction south ar2005-06_14474460.json,71924,Annual,135,0.43703703703703706,59
a071926_reidy_annual2005_12762099.json,71926,Annual,345,0.23188405797101458,80
a071930_c102_2003_2005a_11747793.json,71930,Annual,58,0.44827586206896547,26
a071931_aarkoongiepark_annual_05_12710394.json,71931,Annual,297,0.7104377104377096,211
a071932_kmc_ann_05_amended_9466563.json,71932,Annual,146,0.28082191780821913,41
a071933_btzscotia_ann_05_15156035.json,71933,Annual,143,0.1048951048951049,15
a071934_glintanjve531017-2004 a05_12042559.json,71934,Annual,41,0.2926829268292683,12
a071944_wh_2006a_15358162.json,71944,Annual,51,0.3137254901960785,16
a071949_annual technical report 2006 lake percy_dmp_15989215.json,71949,Annual,129,0.7519379844961244,97
a071950_c591_1994_2005a_16001655.json,71950,Annual,797,0.593475533249685,473
a071952_wa 13279_sd05_16388532.json,71952,Annual,153,0.3529411764705881,54
a071953_ja_reportann2005_11062083.json,71953,Annual,156,0.6602564102564098,103
a071959_yp_2005a_12598226.json,71959,Annual,361,0.11634349030470917,42
a071963_ep_2005a_17430427.json,71963,Annual,48,0.5833333333333333,28
a071964_annual report 2006_13997240.json,71964,Annual,156,0.5064102564102563,79
a071965_annual report form 5 2006_17374687.json,71965,Annual,105,0.31428571428571433,33
a071965_form5_2006 signed_17603099.json,71965,Annual,83,0.14457831325301204,12
a071966_c28_2004_2005a_16260784.json,71966,Annual,535,0.44112149532710326,236
a071969_annual report 2005_16181878.json,71969,Annual,95,0.2421052631578947,23
a071970_e47_1125_doir_report_16249345.json,71970,Annual,89,0.14606741573033707,13
a071971_igo_adelaide dam_281411_2006s_15882798.json,71971,Final Surrender,35,0.34285714285714286,12
a071977_kurnalpi 2005_19331320.json,71977,Annual,171,0.6783625730994154,116
a071981_glenview annual technical report 2005_12265859.json,71981,Annual,86,0.3023255813953488,26
a071982_c15_2005_2006a_10812225.json,71982,Annual,83,0.24096385542168677,20
